Name Equat Polar BlueF GreenF RedF Size RadialVelocity
DG0354 187.0171 110.432 2.855e-17 2.323e-17 9.983e-18 85.6325 832.55
DG0355 186.7333 110.2865 2.131e-17 1.772e-17 7.927e-18 98.0249 832.18
DG0356 165.8783 58.4392 1.338e-15 1.105e-15 3.101e-16 683.248 185.68
DG0357 163.788 57.6263 3.46e-16 3.055e-16 1.214e-16 408.1454 183.48
DG0358 164.508 58.4999 5.385e-16 4.247e-16 1.899e-16 328.7801 184.26
DG0359 163.7006 58.6048 3.514e-16 2.93e-16 1.292e-16 367.8257 182.21
DG0360 166.0513 57.9828 3.866e-16 2.928e-16 1.223e-16 516.85 185.88
DG0361 165.9059 59.2975 5.113e-16 4.601e-16 2.223e-16 369.4058 182.18
DG0362 164.1764 57.2188 5.152e-16 4.078e-16 1.751e-16 347.4868 182.68
DG0363 165.4214 57.9989 3.494e-16 2.845e-16 1.247e-16 725.3088 185.27
DG0364 167.843 56.6231 5.436e-16 4.303e-16 1.758e-16 268.0611 184.06
DG0365 163.9853 57.703 5.234e-16 4.098e-16 1.794e-16 410.7733 183.64
DG0366 164.6809 57.827 4.875e-16 3.667e-16 1.618e-16 336.3314 185.09
DG0367 165.8015 59.8525 5.433e-16 4.405e-16 1.647e-16 338.5331 185.71
DG0368 168.2883 58.3209 5.408e-16 3.692e-16 1.7e-16 323.6346 180.99
DG0369 166.3624 58.9447 4.822e-16 3.962e-16 1.55e-16 286.3169 184.98
DG0370 163.8915 57.5501 5.542e-16 3.83e-16 1.759e-16 335.4204 184.76
DG0382 195.6047 133.7333 4.062e-16 3.17e-16 1.411e-16 303.0848 220.36
DG0398 214.7176 78.9386 7.335e-17 5.564e-17 2.264e-17 160.1494 472.62
DG0466 162.1805 56.5375 1.158e-16 9.929e-17 4.216e-17 331.3213 263.35
DG0467 162.3952 56.4018 1.792e-16 1.312e-16 5.955e-17 192.1931 264.1
DG0468 162.4843 56.7455 2.424e-16 1.894e-16 8.252e-17 247.7587 262.5
DG0469 161.9558 56.8107 2.623e-16 1.812e-16 7.748e-17 209.4795 263.73
DG0470 161.9088 56.6212 1.254e-16 1.023e-16 4.321e-17 226.3565 263.41
DG0471 224.3208 124.3952 7.165e-17 6.288e-17 2.587e-17 178.2048 510.11
DG0472 224.6627 124.4145 4.927e-17 3.936e-17 1.823e-17 132.9516 509.9
DG0475 139.3556 105.2633 3.542e-16 2.728e-16 1.269e-16 308.6545 278.61
DG0476 139.5603 105.2421 2.956e-16 2.366e-16 1.123e-16 285.9031 278.03
DG0577 187.1275 81.1358 1.169e-15 9.438e-16 3.285e-16 583.2659 181.5
DG0578 187.4396 81.0192 4.769e-16 3.743e-16 1.472e-16 301.742 178.84
DG0579 187.5949 80.3585 4.282e-16 3.596e-16 1.588e-16 281.6065 179.88
DG0580 188.7727 81.8843 4.716e-16 3.971e-16 1.726e-16 309.2251 177.89
DG0581 187.5522 82.0705 4.378e-16 4.006e-16 1.673e-16 372.0591 179.11
DG0582 186.6514 80.6867 5.552e-16 4.406e-16 1.972e-16 394.8702 181.08
DG0583 187.8558 82.328 4.973e-16 3.871e-16 1.808e-16 344.3858 178.6
DG0584 186.2139 82.3225 3.24e-16 2.74e-16 1.179e-16 375.9146 177.71
DG0585 185.5836 80.9735 4.498e-16 4.055e-16 1.595e-16 313.9821 176.96
DG0586 187.1508 79.9046 4.593e-16 3.627e-16 1.587e-16 338.0444 180.63
DG0587 185.5334 79.6614 4.795e-16 3.675e-16 1.582e-16 429.5435 180.25
DG0588 186.7888 81.721 4.972e-16 3.913e-16 1.748e-16 399.2059 180.98
DG0589 185.193 81.4543 4.656e-16 3.583e-16 1.568e-16 430.3656 181.33
DG0696 213.9899 62.206 6.147e-18 5.22e-18 2.551e-18 48.6302 1625.46
DG0898 172.1146 127.8427 3.687e-17 2.704e-17 1.122e-17 84.5716 865.17
DG0899 172.1764 127.8929 2.422e-17 2.182e-17 9.052e-18 63.5512 866.44
DG0900 172.251 127.9337 2.365e-17 2.222e-17 9.018e-18 60.9424 865.56
DG0901 173.0833 104.7022 3.634e-17 2.868e-17 1.206e-17 116.1843 562.77
DG0987 151.4436 81.3043 3.033e-17 2.462e-17 8.849e-18 75.3325 1388.67
DG0988 151.5272 81.4152 1.054e-17 9.131e-18 4.264e-18 41.4452 1386.4
DG0989 151.4451 81.436 1.082e-17 9.475e-18 4.193e-18 47.2448 1388.28
DG0990 151.6715 81.3505 1.079e-17 8.37e-18 4.298e-18 42.8928 1388.75
DG0991 151.535 81.2859 1.046e-17 8.877e-18 4.272e-18 51.3107 1389.83
DG0992 151.6893 81.2781 1.141e-17 9.829e-18 4.275e-18 44.6374 1390.67
DG0993 151.3547 81.4114 9.653e-18 9.167e-18 3.961e-18 45.9448 1388.99
DG0994 151.258 81.3156 1.59e-17 1.34e-17 4.786e-18 47.123 1389.59
DG0995 151.4643 81.3325 1.043e-17 8.445e-18 4.171e-18 42.5726 1389.52
DG0996 151.3798 81.4475 1.126e-17 1.056e-17 4.426e-18 47.0025 1386.27
DG0997 151.5569 81.2405 1.198e-17 9.837e-18 4.703e-18 55.7161 1390.54
DG1009 164.0251 113.2009 7.083e-16 5.056e-16 1.579e-16 382.7548 245.41
DG1010 163.3674 112.8935 2.652e-16 2.154e-16 9.495e-17 322.1671 241.51
DG1011 164.4814 112.6022 2.506e-16 2.379e-16 8.604e-17 199.1325 246.34
DG1012 162.499 112.8044 2.566e-16 2.261e-16 1.08e-16 283.4092 241.94
DG1013 163.8322 112.3924 2.777e-16 2.234e-16 8.481e-17 286.2817 242.58
DG1014 163.7491 113.7202 2.852e-16 2.278e-16 1.025e-16 278.2483 244.23
DG1015 164.6387 112.7136 3.637e-16 2.837e-16 1.183e-16 259.6039 244.59
DG1016 164.1678 112.3823 3.971e-16 2.922e-16 1.284e-16 292.8712 245.82
DG1017 164.496 112.171 2.865e-16 2.206e-16 1.002e-16 319.1681 244.0
DG1018 164.0226 113.134 1.613e-16 1.467e-16 5.998e-17 677.6606 242.68
DG1019 164.7124 113.1814 2.329e-16 2.183e-16 9.474e-17 245.7855 244.67
DG1020 164.2801 112.8567 2.587e-16 2.148e-16 9.393e-17 230.408 244.89
DG1026 205.6696 115.0333 2.646e-16 2.335e-16 9.806e-17 238.775 223.06
DG1027 206.1907 114.7055 1.949e-16 1.628e-16 7.333e-17 453.03 223.47
DG1028 206.0936 115.2564 3.141e-16 2.319e-16 1.119e-16 289.5281 223.71
DG1061 149.6679 102.56 6.328e-18 5.558e-18 2.675e-18 99.2227 1532.82
DG1062 149.526 102.4852 9.603e-18 7.301e-18 3.399e-18 42.4534 1532.56
DG1063 149.8194 102.6267 9.893e-18 7.759e-18 3.727e-18 38.5524 1534.41
DG1064 149.6177 102.6363 1.046e-17 8.246e-18 3.994e-18 45.9438 1533.57
DG1065 149.5717 102.5853 8.98e-18 7.696e-18 3.316e-18 38.0767 1534.96
DG1066 149.7051 102.6991 9.437e-18 7.067e-18 3.688e-18 39.2661 1534.64
DG1067 149.7964 102.5337 9.542e-18 7.83e-18 3.316e-18 40.1359 1532.83
DG1068 149.7254 102.4699 9.471e-18 8.742e-18 3.435e-18 58.6046 1533.66
DG1109 139.6498 125.4457 3.564e-16 2.48e-16 8.343e-17 517.806 404.07
DG1110 138.1986 126.0035 1.186e-16 8.744e-17 4.308e-17 162.3 403.64
DG1111 138.2729 124.7063 9.168e-17 7.331e-17 3.238e-17 188.2457 408.67
DG1112 140.8703 124.8974 1.334e-16 9.4e-17 4.367e-17 172.1288 404.86
DG1113 140.0719 125.7475 1.15e-16 9.383e-17 4.114e-17 150.729 411.59
DG1114 138.9183 126.2601 1.356e-16 1.109e-16 4.934e-17 193.5324 404.31
DG1115 141.5889 125.2984 1.121e-16 8.563e-17 4.182e-17 144.7567 405.45
DG1116 140.0199 124.5702 8.597e-17 7.06e-17 3.099e-17 203.3324 403.75
DG1117 140.4688 124.9205 1.231e-16 9.847e-17 4.21e-17 179.4819 409.56
DG1118 140.4054 124.5928 7.626e-17 6.087e-17 2.706e-17 228.5142 404.51
DG1119 138.4646 125.9603 7.678e-17 7.019e-17 3.273e-17 227.8827 409.74
DG1120 139.5903 124.8523 7.943e-17 6.102e-17 3.122e-17 352.4731 406.61
DG1121 139.0051 125.7216 8.82e-17 6.726e-17 2.748e-17 358.8704 408.87
DG1122 138.854 124.8759 8.726e-17 6.407e-17 2.803e-17 260.5959 407.4
DG1123 140.8825 125.5378 9.038e-17 7.027e-17 3.183e-17 187.8137 404.28
DG1124 138.925 126.2943 1.255e-16 1.105e-16 5.05e-17 164.914 409.59
DG1125 138.6239 124.3543 1.28e-16 1.042e-16 4.153e-17 192.1306 410.65
DG1126 140.5078 125.3229 1.351e-16 1.032e-16 4.246e-17 205.7656 409.0
DG1127 138.6581 125.3756 1.278e-16 1.071e-16 4.659e-17 187.2736 407.49
DG1128 139.3878 126.6996 1.234e-16 9.933e-17 4.102e-17 165.5037 403.12
DG1129 139.4197 124.3566 8.164e-17 6.892e-17 3.105e-17 215.0618 405.18
DG1130 140.7203 126.0268 7.928e-17 7.7e-17 2.937e-17 221.3138 408.52
DG1131 141.2003 126.1829 1.177e-16 9.084e-17 4.065e-17 153.2968 405.2
DG1132 183.5997 48.2928 2.425e-15 1.929e-15 6.145e-16 1410.0784 99.47
DG1133 184.2042 51.0579 7.46e-16 5.809e-16 2.697e-16 563.3062 99.37
DG1134 183.7518 49.9834 9.272e-16 7.275e-16 3.197e-16 429.4928 99.52
DG1135 185.2336 49.3133 1.106e-15 8.992e-16 3.819e-16 499.5781 98.88
DG1136 183.0837 49.4846 6.556e-16 5.142e-16 2.253e-16 1199.2078 95.22
DG1137 183.3329 50.132 1.187e-15 9.628e-16 4.718e-16 517.8018 96.02
DG1138 185.092 51.1763 9.556e-16 7.106e-16 3.288e-16 505.7584 96.82
DG1139 183.5355 45.5085 1.005e-15 8.461e-16 3.395e-16 492.481 98.99
DG1140 183.333 46.6799 8.667e-16 7.773e-16 3.441e-16 547.3271 98.25
DG1141 183.3726 50.308 1.003e-15 8.399e-16 3.501e-16 504.439 94.25
DG1142 182.7847 49.7979 1.032e-15 8.833e-16 3.495e-16 455.9862 99.08
DG1143 186.2792 47.9863 8.521e-16 5.888e-16 2.565e-16 802.9433 97.17
DG1144 181.5685 50.3424 1.119e-15 9.303e-16 3.828e-16 622.67 92.81
DG1145 178.6902 48.4655 1.093e-15 8.838e-16 3.604e-16 550.063 97.82
DG1146 182.3149 50.2817 9.183e-16 7.598e-16 3.223e-16 636.1938 95.72
DG1147 184.177 46.1011 1.004e-15 8.044e-16 3.573e-16 626.4674 99.4
DG1148 185.3574 47.474 9.011e-16 6.786e-16 3.014e-16 422.9411 97.54
DG1150 176.8515 77.7781 2.556e-17 2.125e-17 9.753e-18 215.3642 767.09
DG1151 176.8104 78.0505 4.075e-17 2.906e-17 1.485e-17 90.6681 769.83
DG1152 176.7732 78.0284 4.061e-17 3.092e-17 1.47e-17 112.6833 766.31
DG1153 176.7543 77.6149 4.025e-17 3.163e-17 1.307e-17 119.7142 769.18
DG1154 177.1329 77.7443 3.722e-17 2.848e-17 1.294e-17 88.2143 767.91
DG1155 176.9455 77.5747 3.661e-17 2.913e-17 1.347e-17 83.5855 767.42
DG1156 176.9345 77.5096 4.019e-17 2.999e-17 1.362e-17 112.5643 767.36
DG1157 176.6743 77.4828 3.537e-17 3.037e-17 1.157e-17 79.5003 766.5
DG1158 199.3449 47.0911 4.17e-17 3.011e-17 1.403e-17 138.0072 587.28
DG1179 162.2262 53.7208 5.685e-17 4.668e-17 2.033e-17 212.9459 539.11
DG1180 162.5504 53.7185 7.614e-17 5.81e-17 2.78e-17 165.6159 540.64
DG1181 162.2468 53.424 6.97e-17 5.989e-17 2.533e-17 106.9095 538.49
DG1182 161.9884 53.722 8.209e-17 6.644e-17 2.87e-17 139.4352 540.15
DG1183 162.2486 53.7891 5.281e-17 4.297e-17 1.834e-17 274.6719 539.39
DG1184 162.5742 53.6494 6.638e-17 6.062e-17 2.538e-17 111.2956 539.94
DG1185 221.2246 69.5746 4.758e-17 3.962e-17 1.599e-17 207.3366 597.8
DG1186 220.9973 69.5178 6.397e-17 5.231e-17 2.313e-17 125.2094 598.57
DG1187 221.5678 69.4642 6.06e-17 5.474e-17 2.3e-17 127.4292 598.25
DG1188 221.1136 69.5507 5.697e-17 4.596e-17 1.987e-17 118.6346 598.89
DG1189 221.2526 69.6167 5.5e-17 4.911e-17 1.849e-17 108.3717 599.9
DG1190 221.3928 69.3791 5.569e-17 4.625e-17 2.093e-17 119.8492 599.53
DG1231 194.1784 107.4191 2.376e-17 2.02e-17 9.442e-18 66.6338 891.16
DG1232 194.2895 107.5233 2.848e-17 2.44e-17 1.018e-17 87.1018 889.63
DG1233 194.1512 107.4415 2.665e-17 2.357e-17 9.148e-18 102.2646 890.61
DG1234 194.371 107.3555 2.735e-17 2.271e-17 1.026e-17 86.9878 889.96
DG1271 187.1521 124.3672 1.12e-17 9.456e-18 4.522e-18 40.5526 1374.99
DG1272 187.1131 124.4194 1.089e-17 9.206e-18 4.211e-18 39.2035 1374.78
DG1273 155.5527 54.5464 7.932e-18 6.7e-18 2.759e-18 43.6103 1412.38
DG1274 155.5856 54.5372 1.101e-17 8.942e-18 4.625e-18 44.0748 1412.99
DG1275 155.5683 54.3769 1.165e-17 9.043e-18 4.458e-18 46.0896 1412.87
DG1276 155.4813 54.4707 1.076e-17 8.262e-18 4.051e-18 43.9699 1412.5
DG1292 187.8404 71.3937 2.021e-17 1.8e-17 7.646e-18 60.8868 1042.99
DG1293 187.8539 71.4054 1.242e-17 1.063e-17 4.352e-18 67.0671 1043.84
DG1294 187.8684 71.3281 1.983e-17 1.742e-17 6.949e-18 86.302 1043.66
DG1295 187.7302 71.3532 2.753e-17 2.301e-17 9.134e-18 71.2597 1044.75
DG1298 171.6458 66.3476 3.925e-17 3.726e-17 1.551e-17 257.8018 539.85
DG1299 171.2894 66.3198 4.443e-17 3.408e-17 1.658e-17 122.5143 540.39
DG1300 171.4401 65.9534 6.144e-17 5.218e-17 2.281e-17 110.1652 540.92
DG1301 171.6428 66.1275 6.65e-17 5.033e-17 2.358e-17 131.6505 538.5
DG1302 171.8494 66.1484 6.751e-17 5.237e-17 2.25e-17 148.5806 538.16
DG1303 171.6147 66.0692 9.273e-17 7.474e-17 2.596e-17 122.1768 538.79
DG1304 171.5305 66.589 6.743e-17 6.163e-17 2.274e-17 136.2541 538.76
DG1319 188.1495 100.4617 5.629e-18 5.157e-18 2.462e-18 85.0637 1652.02
DG1320 188.1278 100.3503 8.81e-18 7.7e-18 3.598e-18 41.7621 1649.76
DG1321 188.1588 100.4647 8.889e-18 6.997e-18 3.058e-18 34.4038 1651.15
DG1322 188.1742 100.3644 9.491e-18 7.94e-18 3.835e-18 43.0045 1649.7
DG1323 188.2223 100.4997 1.25e-17 1.014e-17 4.16e-18 38.1514 1651.39
DG1324 188.06 100.4392 9.591e-18 7.647e-18 3.748e-18 50.587 1650.53
DG1325 188.2136 100.4606 7.807e-18 6.471e-18 3.195e-18 35.9779 1652.95
DG1426 183.1155 121.4558 1.331e-16 9.754e-17 3.26e-17 229.6187 661.14
DG1427 183.6193 121.5186 4.383e-17 3.344e-17 1.691e-17 103.4933 666.43
DG1428 183.1067 121.1947 3.537e-17 2.672e-17 1.072e-17 125.9398 660.95
DG1429 182.7875 121.1095 6.386e-17 5.603e-17 2.177e-17 100.1898 664.14
DG1430 183.3192 120.8457 5.754e-17 4.076e-17 2.009e-17 127.964 658.99
DG1431 182.5749 121.8095 5.556e-17 4.22e-17 2.013e-17 97.2815 660.35
DG1432 182.2479 121.6842 5.128e-17 4.433e-17 1.871e-17 128.3139 663.86
DG1433 183.2227 121.7004 4.864e-17 4.098e-17 1.829e-17 145.3508 663.46
DG1434 182.6301 121.3508 3.944e-17 3.95e-17 1.683e-17 93.4662 659.1
DG1435 183.8474 121.4346 5.343e-17 3.873e-17 1.799e-17 111.1321 665.18
DG1436 183.2844 121.4788 3.067e-17 2.776e-17 1.114e-17 198.3019 661.99
DG1437 182.3872 121.6979 5.188e-17 4.309e-17 1.866e-17 111.9215 666.52
DG1438 182.9715 121.1023 4.2e-17 2.88e-17 1.45e-17 195.0724 666.36
DG1439 182.488 121.7941 4.82e-17 3.579e-17 1.762e-17 101.2617 660.28
DG1440 183.7511 121.4543 4.695e-17 3.835e-17 1.641e-17 96.5777 665.64
DG1441 183.0177 121.4256 4.939e-17 3.699e-17 1.767e-17 114.9083 660.41
DG1442 183.3713 121.8071 7.291e-17 5.412e-17 2.18e-17 125.0448 662.43
DG1443 182.6302 121.7765 5.06e-17 4.453e-17 1.942e-17 116.6071 662.8
DG1444 183.4388 121.9038 5.066e-17 4.006e-17 1.999e-17 94.6438 662.87
DG1445 182.852 121.1523 5.185e-17 3.779e-17 1.736e-17 97.1911 662.3
DG1446 183.223 120.7378 4.448e-17 3.969e-17 1.785e-17 138.8145 661.71
DG1452 170.2023 60.9704 3.454e-16 2.682e-16 8.329e-17 532.8886 411.76
DG1453 170.247 61.2827 1.368e-16 1.105e-16 4.932e-17 185.116 414.59
DG1454 170.0901 60.8684 1.47e-16 1.179e-16 5.148e-17 202.2835 415.74
DG1455 170.1826 60.8133 1.357e-16 1.04e-16 4.601e-17 194.0058 415.72
DG1456 169.933 61.6557 1.283e-16 1.146e-16 4.734e-17 191.9027 412.95
DG1457 170.3138 60.8837 1.282e-16 1.046e-16 4.215e-17 168.3493 412.04
DG1458 170.6304 61.0341 1.419e-16 1.109e-16 4.756e-17 174.2161 415.55
DG1459 170.7711 61.3137 1.506e-16 1.156e-16 5.118e-17 205.2666 415.37
DG1460 170.9856 60.6089 1.302e-16 1.08e-16 4.624e-17 180.6688 414.51
DG1461 170.0725 61.3641 1.28e-16 9.769e-17 4.222e-17 168.3209 415.91
DG1462 170.7219 61.2739 1.254e-16 1.18e-16 4.864e-17 177.6138 412.53
DG1472 138.3539 62.0783 9.223e-18 8.557e-18 3.864e-18 85.0536 1315.12
DG1473 138.4896 62.0955 1.384e-17 1.185e-17 5.264e-18 49.2663 1314.77
DG1474 138.3723 62.1473 1.264e-17 1.037e-17 5.206e-18 56.3301 1315.93
DG1475 138.2968 62.0219 1.195e-17 9.096e-18 4.506e-18 47.0881 1317.04
DG1476 138.4632 62.0444 1.252e-17 9.566e-18 4.917e-18 50.9695 1316.22
DG1477 138.3976 62.0709 1.458e-17 1.112e-17 4.964e-18 47.6844 1316.02
DG1504 143.1585 62.8767 5.444e-18 4.523e-18 2.264e-18 51.0099 1720.93
DG1575 151.9989 58.0248 4.712e-17 4.421e-17 2e-17 96.3525 586.1
DG1576 152.0855 58.1677 6.444e-17 4.501e-17 2.173e-17 126.1444 587.23
DG1674 196.5486 82.4641 4.797e-17 3.773e-17 1.637e-17 125.6801 614.77
DG1675 196.3879 82.5821 4.64e-17 3.798e-17 1.727e-17 88.9201 614.84
DG1846 135.2918 71.6547 4.196e-17 3.286e-17 1.453e-17 175.5059 542.87
DG1847 135.146 71.6243 5.499e-17 4.597e-17 2.142e-17 106.1215 542.67
DG1848 135.5359 71.5831 6.266e-17 5.043e-17 1.979e-17 127.1579 541.18
DG1849 135.1055 71.7252 5.822e-17 4.591e-17 1.817e-17 107.5812 542.24
DG1850 135.0205 71.4661 6.417e-17 5.21e-17 2.442e-17 126.2691 541.61
DG1888 144.8863 102.4471 8.794e-17 7.227e-17 3.264e-17 182.1132 362.86
DG1895 165.1297 99.7715 2.278e-16 1.897e-16 6.535e-17 323.9095 399.24
DG1896 164.6071 100.1216 9.947e-17 7.918e-17 3.607e-17 168.7966 395.55
DG1897 165.9574 100.3147 1.295e-16 1.027e-16 4.022e-17 141.6439 396.68
DG1898 164.9703 99.114 9.139e-17 7.341e-17 3.026e-17 179.3484 396.69
DG1899 164.8379 100.071 9.927e-17 7.447e-17 3.39e-17 162.9342 398.62
DG1900 165.4025 98.6321 9.611e-17 7.825e-17 3.975e-17 130.0415 397.25
DG1901 164.651 98.8967 1.235e-16 1.031e-16 4.084e-17 157.9743 402.18
DG1902 164.6672 100.4192 7.147e-17 5.181e-17 2.612e-17 267.1717 394.78
DG1903 164.7045 99.2161 7.098e-17 5.741e-17 2.373e-17 270.6267 398.18
DG1904 164.8576 98.9267 6.364e-17 5.211e-17 2.147e-17 149.227 399.37
DG1905 166.2018 99.6915 9.11e-17 6.994e-17 3.406e-17 154.2576 404.15
DG1906 163.8619 100.2897 9.414e-17 6.736e-17 3.351e-17 154.3797 401.07
DG1907 165.6803 98.5448 8.872e-17 7.006e-17 3.098e-17 117.4891 402.16
DG1908 164.4803 99.8346 9.511e-17 7.119e-17 3.249e-17 153.329 397.96
DG1909 164.1768 99.4387 8.968e-17 7.123e-17 3.276e-17 176.0999 402.15
DG1910 165.6069 99.0571 8.692e-17 7.723e-17 3.172e-17 146.2598 396.4
DG1911 164.7914 100.3593 1.304e-16 1.055e-16 3.695e-17 122.6767 397.54
DG1912 164.9613 100.4689 7.171e-17 5.774e-17 2.441e-17 244.6966 396.04
DG1913 166.3254 99.4127 9.628e-17 7.413e-17 3.289e-17 143.0045 403.72
DG1914 165.9387 99.3228 6.579e-17 5.045e-17 2.147e-17 230.2759 395.29
DG1915 165.1174 100.6267 8.947e-17 6.465e-17 2.949e-17 148.2539 402.81
DG1916 164.2905 100.2672 6.744e-17 4.845e-17 2.234e-17 228.074 400.86
DG1917 164.8829 99.9191 1.044e-16 7.766e-17 3.767e-17 162.7428 401.68
DG1918 164.8475 99.4986 6.151e-17 5.271e-17 2.302e-17 295.1474 400.88
DG2061 181.5509 56.0896 9.383e-17 7.856e-17 2.833e-17 418.9452 455.43
DG2062 181.2483 56.3326 9.828e-17 8.497e-17 3.022e-17 184.5452 458.58
DG2063 181.2021 55.9087 1.567e-16 1.141e-16 5.116e-17 179.3399 455.72
DG2064 181.7499 56.4159 1.335e-16 1.179e-16 4.899e-17 203.0706 457.78
DG2065 181.9524 55.524 1.433e-16 1.269e-16 5.083e-17 187.6818 458.68
DG2066 181.2992 55.7146 1.447e-16 1.133e-16 4.551e-17 183.5256 456.7
DG2067 181.1451 55.8245 1.495e-16 1.108e-16 5.279e-17 180.9742 455.2
DG2068 181.6852 56.2121 1.244e-16 9.159e-17 4.369e-17 160.4767 457.93
DG2069 203.8275 59.7005 8.319e-18 7.043e-18 3.016e-18 46.4352 1788.96
DG2070 203.7973 59.7104 8.349e-18 6.553e-18 3.176e-18 48.6442 1789.0
DG2071 203.7758 59.6827 8.077e-18 7.03e-18 3.389e-18 38.0568 1787.94
DG2098 162.2369 114.3068 5.824e-18 4.708e-18 2.383e-18 66.1219 1646.93
DG2099 162.256 114.2869 8.43e-18 7.256e-18 2.791e-18 34.6491 1647.56
DG2100 162.224 114.3445 1.223e-17 9.954e-18 4.045e-18 38.718 1646.53
DG2101 162.1839 114.2442 8.037e-18 6.932e-18 3.315e-18 50.3646 1647.0
DG2102 162.155 114.292 8.9e-18 7.651e-18 3.365e-18 40.773 1648.4
DG2103 208.1903 59.9862 7.511e-17 5.996e-17 2.494e-17 307.1156 440.21
DG2104 208.1007 60.1457 9.501e-17 8.309e-17 3.463e-17 141.4261 440.4
DG2105 208.3415 60.246 9.3e-17 7.428e-17 3.827e-17 145.9788 440.01
DG2106 208.0015 60.3533 1.044e-16 8.931e-17 3.318e-17 140.6823 439.26
DG2107 208.3665 59.5458 9.328e-17 8.132e-17 3.744e-17 130.5874 440.67
DG2108 208.6722 60.4648 1.057e-16 8.273e-17 3.667e-17 155.7915 439.05
DG2109 207.721 59.6558 9.805e-17 7.83e-17 3.532e-17 133.7878 439.44
DG2158 165.7248 69.9116 6.492e-17 5.065e-17 2.156e-17 287.0048 409.82
DG2159 165.2629 69.9456 8.485e-17 7.345e-17 3.209e-17 138.6209 409.1
DG2160 165.5491 69.7128 1.041e-16 8.107e-17 3.529e-17 160.0038 411.29
DG2161 165.3094 70.0939 1.317e-16 1.018e-16 3.699e-17 147.0422 410.11
DG2162 166.1375 70.0168 1.349e-16 1.07e-16 3.953e-17 139.6659 411.42
DG2163 166.0633 69.611 6.77e-17 5.398e-17 2.203e-17 171.858 409.68
DG2164 165.2505 69.8578 8.767e-17 7.349e-17 3.483e-17 158.6299 411.84
