Name Equatorial Polar Luminosity
RS0107 159.84 116.52 8.370e-11
RS0108 160.26 117.54 5.968e-11
RS0109 58.87 132.12 1.448e-08
RS0110 65.54 131.79 5.132e-09
RS0111 59.74 132.13 1.781e-08
RS0112 56.25 138.46 1.145e-09
RS0113 62.70 132.10 6.716e-10
RS0114 59.55 137.91 8.701e-10
RS0115 63.71 132.97 2.925e-09
RS0116 51.29 138.46 5.256e-09
RS0117 66.17 123.09 4.817e-09
RS0118 55.25 133.29 8.123e-10
RS0119 62.44 129.92 1.285e-09
RS0120 54.51 141.00 1.199e-09
RS0121 50.55 134.88 6.420e-09
RS0122 62.46 134.65 2.397e-09
RS0123 61.05 140.28 5.772e-09
RS0124 46.09 73.46 6.485e-10
RS0125 47.20 71.73 2.545e-10
RS0126 46.98 73.26 6.292e-10
RS0127 45.05 72.76 8.088e-11
RS0128 46.97 72.34 1.058e-10
RS0129 45.78 73.43 1.528e-10
RS0130 45.12 73.93 8.885e-10
RS0131 302.82 81.99 8.466e-10
RS0132 302.64 81.90 5.558e-10
RS0133 70.44 77.07 5.543e-09
RS0134 71.31 74.59 1.175e-10
RS0135 68.45 78.33 2.544e-10
RS0136 72.67 76.45 1.299e-09
RS0137 72.53 75.78 3.842e-10
RS0138 72.98 76.06 5.289e-10
RS0139 71.64 73.94 5.737e-10
RS0140 70.88 75.84 2.139e-10
RS0141 69.87 79.06 1.365e-10
RS0142 73.39 75.82 3.105e-10
RS0143 71.88 75.31 3.730e-10
RS0144 74.28 78.76 1.529e-10
RS0145 117.18 133.65 4.748e-09
RS0146 119.17 135.07 6.678e-11
RS0147 114.00 132.76 2.948e-10
RS0148 117.76 134.40 8.889e-11
RS0149 119.35 132.16 1.413e-10
RS0150 114.32 133.34 5.921e-10
RS0151 116.43 134.65 1.672e-09
RS0152 117.33 132.76 5.194e-10
RS0153 115.08 134.20 4.791e-11
RS0154 119.45 132.63 2.581e-10
RS0155 136.09 89.54 1.401e-10
RS0156 135.83 90.31 1.402e-10
RS0157 136.16 90.48 4.012e-10
RS0158 10.25 140.32 1.655e-10
RS0159 10.11 139.95 2.856e-10
RS0160 14.74 84.95 9.259e-10
RS0161 16.07 84.14 1.789e-10
RS0162 15.02 86.11 7.167e-11
RS0163 14.24 84.63 3.956e-11
RS0164 14.27 83.43 2.319e-10
RS0165 13.52 84.13 1.187e-10
RS0166 135.13 60.29 3.944e-09
RS0167 134.44 61.79 2.145e-10
RS0168 134.74 61.34 2.898e-10
RS0169 135.45 59.81 7.453e-10
RS0170 292.66 77.75 3.717e-09
RS0171 293.28 77.97 7.789e-10
RS0172 77.15 58.36 3.794e-09
RS0173 77.21 59.78 9.485e-11
RS0174 77.58 57.20 1.276e-10
RS0175 77.22 58.82 6.593e-10
RS0176 78.09 60.42 2.041e-10
RS0177 316.83 113.62 6.042e-10
RS0178 253.63 63.78 1.428e-09
RS0179 253.62 65.14 1.932e-10
RS0180 253.46 62.69 8.717e-11
RS0181 255.10 63.26 7.685e-10
RS0182 252.69 64.84 5.386e-10
RS0183 254.16 64.10 9.543e-11
RS0184 218.26 41.53 3.718e-08
RS0185 226.83 53.68 3.181e-09
RS0186 218.58 35.35 1.674e-08
RS0187 201.95 26.78 1.113e-09
RS0188 208.44 58.93 6.478e-09
RS0189 222.95 35.50 2.803e-08
RS0190 187.93 31.47 3.058e-09
RS0191 213.99 53.62 2.832e-09
RS0192 210.39 42.96 9.774e-09
RS0193 191.81 52.52 2.377e-09
RS0194 230.65 64.57 5.212e-09
RS0195 231.60 31.24 1.669e-08
RS0196 225.58 60.94 8.869e-10
RS0197 193.62 40.49 8.403e-10
RS0198 222.43 46.05 2.654e-08
RS0199 224.73 39.70 6.224e-09
RS0200 201.01 49.92 1.523e-09
RS0201 210.06 67.38 1.561e-09
RS0202 231.63 57.65 1.136e-08
RS0203 202.02 49.42 1.988e-08
RS0204 223.39 45.24 6.959e-09
RS0205 196.31 50.08 1.145e-09
RS0206 209.13 47.09 1.094e-08
RS0207 207.71 54.92 5.707e-09
RS0208 207.36 36.77 1.242e-08
RS0209 236.14 59.30 1.638e-09
RS0210 239.52 36.95 9.824e-09
RS0211 231.82 46.21 7.617e-09
RS0212 203.09 28.36 7.157e-09
RS0213 245.14 30.79 2.330e-10
RS0214 211.51 49.43 1.158e-10
RS0215 212.73 102.29 4.197e-08
RS0216 207.37 103.76 1.435e-08
RS0217 210.93 98.81 8.217e-09
RS0218 213.86 101.80 1.514e-08
RS0219 221.00 99.12 2.637e-09
RS0220 218.24 108.10 6.252e-09
RS0221 213.50 101.87 1.600e-09
RS0222 201.88 107.47 4.566e-09
RS0223 216.41 106.51 1.690e-09
RS0224 207.47 104.75 5.575e-10
RS0225 214.18 108.62 7.435e-09
RS0226 223.90 106.56 7.620e-09
RS0227 205.17 107.18 1.157e-09
RS0228 244.22 8.05 1.657e-09
RS0229 217.24 8.50 4.471e-11
RS0230 242.23 6.68 3.414e-10
RS0231 240.75 6.81 2.203e-10
RS0232 240.53 6.19 9.901e-10
RS0233 254.44 5.22 1.231e-10
RS0234 255.09 4.86 3.468e-10
RS0235 225.83 6.27 5.247e-10
RS0236 227.10 8.37 1.750e-10
RS0237 223.45 9.10 2.474e-10
RS0238 246.98 7.50 8.991e-11
RS0239 252.53 8.24 8.171e-10
RS0240 257.11 6.35 3.471e-11
RS0241 106.29 78.75 3.187e-09
RS0242 107.28 75.85 3.525e-11
RS0243 102.10 77.64 5.476e-10
RS0244 110.59 80.36 1.054e-09
RS0245 108.24 80.40 3.374e-10
RS0246 102.07 77.79 1.535e-10
RS0247 109.63 79.59 4.694e-10
RS0248 105.46 82.01 2.492e-10
RS0249 103.22 76.10 6.232e-11
RS0250 109.96 79.17 1.156e-10
RS0251 103.93 75.19 4.572e-10
RS0252 106.56 82.33 5.710e-10
RS0253 107.68 77.53 8.978e-10
RS0254 110.35 75.36 5.140e-10
RS0255 104.04 83.28 1.442e-10
RS0256 102.87 80.37 1.130e-10
RS0257 109.69 75.86 1.786e-10
RS0258 108.03 75.74 4.960e-10
RS0259 109.08 81.72 1.175e-09
RS0260 192.24 47.93 3.747e-10
RS0261 311.48 96.85 1.225e-09
RS0262 311.22 92.61 1.078e-09
RS0263 313.62 110.48 6.282e-09
RS0264 312.94 108.86 2.097e-09
RS0265 15.91 67.17 6.109e-09
RS0266 17.21 69.69 4.542e-10
RS0267 18.29 64.47 1.120e-09
RS0268 13.82 65.57 1.556e-10
RS0269 15.54 68.32 5.470e-10
RS0270 12.57 65.25 2.383e-09
RS0271 13.26 65.73 7.677e-10
RS0272 16.56 65.37 7.215e-10
RS0273 345.70 26.41 8.657e-09
RS0274 345.39 26.05 3.160e-09
RS0275 343.39 29.01 3.884e-10
RS0276 348.25 26.81 4.961e-10
RS0277 66.01 94.51 6.307e-10
RS0278 66.01 94.56 1.557e-10
RS0279 15.53 55.03 1.177e-09
RS0280 146.28 66.79 7.326e-10
RS0281 146.01 66.84 1.559e-10
RS0282 146.81 66.98 1.126e-09
RS0283 147.68 65.16 4.495e-10
RS0284 274.61 71.79 4.862e-10
RS0285 275.89 72.34 6.560e-10
RS0286 204.69 148.63 7.186e-10
RS0287 259.40 114.13 7.087e-09
RS0288 260.07 109.25 5.520e-10
RS0289 246.29 117.01 3.553e-10
RS0290 263.10 108.27 4.501e-10
RS0291 268.26 114.18 8.685e-10
RS0292 257.14 115.80 3.798e-09
RS0293 263.40 107.02 1.375e-09
RS0294 257.80 108.87 7.235e-10
RS0295 251.44 110.47 4.886e-10
RS0296 261.51 116.57 1.187e-09
RS0297 258.79 109.82 2.868e-09
RS0298 268.97 112.39 6.199e-10
RS0299 254.22 120.44 1.733e-09
RS0300 256.61 106.80 2.858e-10
RS0301 255.06 119.66 2.009e-09
RS0302 262.41 113.07 1.970e-09
RS0303 265.30 113.62 1.643e-09
RS0304 256.73 112.05 7.759e-11
RS0305 253.46 115.59 1.019e-09
RS0306 260.08 110.63 5.219e-10
RS0307 268.83 113.21 6.501e-10
RS0308 262.95 123.16 2.589e-10
RS0309 261.98 106.01 3.198e-09
RS0310 258.35 121.64 1.023e-09
RS0311 252.90 114.41 1.409e-10
RS0312 250.64 108.78 3.048e-10
RS0313 257.71 113.11 9.904e-10
RS0314 253.76 113.07 1.280e-09
RS0315 254.91 114.73 2.422e-09
RS0316 266.59 114.39 6.860e-10
RS0317 252.39 114.59 4.276e-10
RS0318 258.84 120.01 6.503e-10
RS0319 253.81 113.90 4.861e-10
RS0320 30.23 40.56 9.367e-09
RS0321 32.63 34.76 1.561e-09
RS0322 17.46 39.34 2.481e-09
RS0323 27.17 31.99 2.916e-10
RS0324 17.78 43.34 5.187e-10
RS0325 28.54 34.05 6.080e-10
RS0326 31.53 35.95 1.947e-09
RS0327 25.86 38.17 8.019e-10
RS0328 26.98 39.92 1.972e-09
RS0329 36.84 41.87 6.081e-10
RS0330 22.96 36.02 2.476e-10
RS0331 30.76 37.14 1.087e-09
RS0332 29.95 40.77 1.741e-09
RS0333 28.87 47.92 7.258e-10
RS0334 22.80 39.94 1.890e-09
RS0335 36.86 34.73 6.666e-10
RS0336 21.54 41.00 1.778e-09
RS0337 21.89 40.89 1.551e-10
RS0338 38.04 33.23 3.622e-10
RS0339 38.25 45.53 1.017e-09
RS0340 36.90 43.12 1.328e-09
RS0341 200.74 43.53 2.816e-09
RS0342 205.40 43.19 7.348e-10
RS0343 198.73 41.83 7.728e-11
RS0344 195.61 44.57 1.367e-09
RS0345 199.01 41.52 2.930e-10
RS0346 194.96 43.62 3.740e-10
RS0347 199.79 47.42 4.450e-10
RS0348 198.22 42.22 7.291e-11
RS0349 203.41 46.41 1.088e-09
RS0350 201.52 42.98 1.539e-09
RS0351 194.56 45.81 1.183e-09
RS0352 199.96 42.55 3.051e-10
RS0353 199.79 43.36 1.039e-10
RS0354 200.19 46.89 4.703e-10
RS0355 198.85 44.70 8.913e-10
RS0356 205.66 45.86 7.191e-10
RS0357 198.47 44.76 7.686e-11
RS0358 302.10 98.80 1.806e-09
RS0359 302.29 98.64 6.708e-10
RS0360 68.36 89.23 2.537e-10
RS0361 57.19 158.32 7.169e-10
RS0362 58.21 159.42 5.574e-10
RS0363 60.46 157.98 2.260e-10
RS0364 55.04 158.00 1.084e-09
RS0365 186.22 86.41 4.728e-11
RS0366 186.43 86.41 5.149e-10
RS0367 145.68 17.57 8.772e-10
RS0368 147.09 18.82 5.952e-10
RS0369 140.55 17.37 1.090e-10
RS0370 142.12 18.33 8.917e-11
RS0371 143.32 17.95 4.411e-10
RS0372 171.99 87.60 1.733e-08
RS0373 173.42 79.92 1.807e-09
RS0374 173.15 92.77 2.368e-09
RS0375 170.10 87.41 1.339e-08
RS0376 170.07 88.56 5.029e-10
RS0377 177.58 87.64 5.605e-10
RS0378 170.27 81.99 1.901e-09
RS0379 170.12 92.79 2.003e-10
RS0380 168.75 88.32 5.714e-10
RS0381 172.72 91.35 1.227e-09
RS0382 177.42 84.39 1.863e-10
RS0383 81.86 111.22 8.663e-10
RS0384 81.40 109.56 7.153e-10
RS0385 82.08 112.68 7.150e-10
RS0386 83.20 111.41 5.174e-10
RS0387 81.66 111.76 1.662e-10
RS0388 182.09 149.73 1.427e-09
RS0389 183.81 150.15 5.500e-10
RS0390 183.46 149.99 1.711e-10
RS0391 182.96 148.15 9.619e-10
RS0392 282.95 87.69 6.177e-09
RS0393 285.76 88.45 2.201e-09
RS0394 280.06 92.97 1.613e-10
RS0395 283.57 90.55 2.240e-10
RS0396 284.18 94.09 1.313e-09
RS0397 286.76 88.36 2.047e-09
RS0398 286.87 84.29 2.423e-10
RS0399 285.74 91.03 1.990e-09
RS0400 282.76 88.00 1.427e-10
RS0401 284.81 86.90 1.367e-09
RS0402 284.23 91.66 4.198e-10
RS0403 279.09 86.29 7.772e-10
RS0404 282.38 82.83 4.009e-10
RS0405 279.34 85.09 6.940e-11
RS0406 285.18 88.40 6.041e-11
RS0407 282.48 84.11 1.105e-10
RS0408 286.29 89.88 8.276e-10
RS0409 283.13 86.08 1.411e-09
RS0410 289.53 89.12 7.661e-11
RS0411 53.24 20.44 1.479e-08
RS0412 51.49 16.45 2.021e-09
RS0413 46.89 22.77 1.575e-09
RS0414 44.88 18.26 1.221e-09
RS0415 67.51 17.17 4.075e-09
RS0416 50.43 19.38 5.674e-10
RS0417 56.21 23.10 1.354e-09
RS0418 65.28 22.64 2.586e-10
RS0419 58.38 16.42 9.721e-10
RS0420 57.82 17.94 1.695e-10
RS0421 37.60 128.51 6.364e-11
RS0422 224.97 127.45 5.237e-09
RS0423 223.22 126.93 2.227e-09
RS0424 222.79 129.00 1.409e-09
RS0425 224.02 124.41 8.929e-10
RS0426 224.97 125.65 2.478e-10
RS0427 222.81 125.43 9.395e-10
RS0428 225.35 127.08 2.451e-10
RS0429 219.50 125.79 5.255e-11
RS0430 229.60 126.46 4.119e-11
RS0431 226.97 127.06 1.923e-10
RS0432 223.93 126.96 6.014e-11
RS0433 223.16 128.22 1.918e-09
RS0434 220.28 127.15 5.679e-11
RS0435 225.71 125.54 1.704e-09
RS0436 226.53 126.08 5.754e-10
RS0437 224.75 126.58 5.391e-10
RS0438 288.42 99.44 6.335e-10
RS0439 288.01 99.17 4.705e-10
RS0440 287.98 99.18 7.278e-10
RS0441 288.10 100.00 1.361e-10
RS0442 288.90 99.01 9.415e-10
RS0443 285.97 100.52 1.073e-10
RS0444 289.29 100.02 3.525e-10
RS0445 289.89 99.11 7.241e-11
RS0446 19.26 39.11 1.392e-09
RS0447 18.97 37.29 8.920e-10
RS0448 272.77 64.98 6.129e-10
RS0449 195.04 137.56 2.010e-09
RS0450 121.77 103.28 5.318e-11
RS0451 121.31 103.53 2.088e-10
RS0452 144.85 134.09 1.666e-07
RS0453 146.94 114.69 4.359e-08
RS0454 171.77 101.88 3.723e-09
RS0455 158.83 117.03 1.847e-08
RS0456 182.58 103.92 7.818e-08
RS0457 134.14 151.94 6.168e-09
RS0458 12.97 162.43 2.915e-07
RS0459 109.10 152.73 1.433e-08
RS0460 127.41 132.08 1.865e-08
RS0461 108.52 137.94 1.367e-08
RS0462 230.25 140.22 6.169e-08
RS0463 176.47 136.15 1.152e-07
RS0464 180.00 90.00 7.344e-04
RS0465 294.63 121.40 5.587e-11
RS0466 294.47 121.57 2.147e-10
RS0467 294.51 121.58 3.619e-11
RS0468 36.90 55.81 3.321e-11
RS0469 299.97 130.82 5.486e-11
RS0470 300.00 131.07 4.479e-11
RS0471 299.87 130.95 2.032e-11
RS0472 299.94 130.92 7.689e-11
RS0473 265.59 73.29 8.333e-11
RS0474 148.96 78.48 2.630e-08
RS0475 149.18 78.96 1.285e-10
RS0476 149.34 78.43 6.907e-11
RS0477 148.79 79.04 1.560e-10
RS0478 149.17 78.51 1.034e-10
RS0479 148.81 78.03 1.722e-10
RS0480 149.28 78.30 4.233e-11
RS0481 148.60 78.29 9.207e-11
RS0482 148.91 78.57 1.341e-10
RS0483 148.68 78.41 9.383e-11
RS0484 149.35 78.76 1.498e-10
RS0485 272.05 129.61 9.231e-11
RS0486 151.31 105.20 5.658e-11
RS0487 166.30 123.19 5.594e-09
RS0488 166.02 123.35 2.723e-11
RS0489 166.52 123.27 1.252e-11
RS0490 165.97 123.23 4.722e-11
RS0491 165.96 123.30 9.416e-12
RS0492 165.93 123.27 3.457e-11
RS0493 165.88 123.33 1.080e-11
RS0494 166.14 123.36 2.766e-11
RS0495 166.21 123.16 2.681e-11
RS0496 166.16 123.03 3.344e-11
RS0497 166.21 122.80 3.117e-11
RS0498 166.54 123.29 6.926e-11
RS0499 166.24 122.92 2.852e-10
RS0500 166.40 123.26 1.153e-09
RS0501 166.81 123.12 4.010e-11
RS0502 166.60 123.02 1.217e-11
RS0503 166.56 123.58 2.891e-11
RS0504 18.46 120.65 5.500e-10
RS0505 18.41 120.68 3.507e-11
RS0506 18.49 120.71 1.621e-11
RS0507 18.44 120.66 1.241e-11
RS0508 18.46 120.73 1.134e-11
RS0509 18.44 120.53 2.281e-11
RS0510 159.04 123.61 1.529e-11
RS0511 355.03 81.04 1.289e-11
RS0512 355.13 81.14 1.917e-11
RS0513 355.10 81.06 2.094e-11
RS0514 355.13 81.05 1.787e-11
RS0515 254.30 59.88 3.191e-08
RS0516 255.08 59.61 1.671e-09
RS0517 253.70 59.43 6.032e-10
RS0518 254.06 59.96 1.080e-09
RS0519 254.85 59.35 8.358e-10
RS0520 254.84 60.85 1.575e-09
RS0521 32.13 10.73 1.130e-10
RS0522 11.00 54.41 1.196e-11
RS0523 11.02 54.40 1.971e-09
RS0524 24.29 76.47 1.151e-10
RS0525 349.67 102.16 5.911e-10
RS0526 349.55 102.02 6.170e-10
RS0527 217.33 43.87 3.990e-10
RS0528 271.31 110.74 3.892e-09
RS0529 271.02 110.82 4.624e-11
RS0530 271.34 110.52 1.206e-10
RS0531 271.62 110.66 3.522e-10
RS0532 271.21 110.87 3.555e-10
RS0533 271.45 110.55 5.840e-11
RS0534 8.94 137.02 1.309e-08
RS0535 9.29 137.07 5.046e-11
RS0536 9.27 137.18 4.138e-11
RS0537 9.30 136.95 2.756e-11
RS0538 9.24 137.09 2.702e-11
RS0539 9.05 137.06 3.524e-11
RS0540 9.17 137.16 5.254e-11
RS0541 9.03 136.95 7.824e-11
RS0542 8.93 137.05 8.701e-11
RS0543 9.17 136.73 4.376e-11
RS0544 21.37 111.79 9.893e-10
RS0545 21.20 112.33 1.090e-09
RS0546 276.90 97.84 1.488e-09
RS0547 276.94 97.93 7.205e-12
RS0548 276.80 97.89 1.394e-11
RS0549 276.92 97.95 2.252e-11
RS0550 276.90 97.96 1.382e-11
RS0551 276.84 97.82 1.151e-11
RS0552 276.87 97.92 1.496e-11
RS0553 276.83 97.69 1.183e-11
RS0554 277.05 97.82 4.837e-12
RS0555 1.85 41.18 6.954e-09
RS0556 2.01 41.49 4.562e-11
RS0557 1.98 41.23 1.732e-10
RS0558 1.53 41.23 2.326e-10
RS0559 1.62 41.22 1.039e-10
RS0560 1.56 41.34 4.627e-11
RS0561 1.56 41.48 7.636e-11
RS0562 358.51 103.92 2.668e-11
RS0563 358.50 103.91 1.842e-11
RS0564 67.85 160.01 8.707e-12
RS0565 67.82 160.01 1.255e-11
RS0566 324.10 134.94 1.032e-07
RS0567 321.24 133.46 7.408e-10
RS0568 325.44 137.18 3.549e-10
RS0569 322.65 134.23 6.547e-10
RS0570 326.89 135.64 8.435e-10
RS0571 321.71 136.38 4.684e-10
RS0572 322.31 134.28 9.580e-10
RS0573 324.99 137.57 6.474e-10
RS0574 324.91 135.67 8.851e-10
RS0575 323.03 135.55 5.116e-10
RS0576 323.48 137.18 3.276e-10
RS0577 325.04 136.64 2.045e-09
RS0578 325.34 134.07 5.460e-10
RS0579 324.84 132.02 1.975e-10
RS0580 323.30 132.90 1.159e-09
RS0581 322.80 133.16 7.187e-10
RS0582 328.71 133.79 7.731e-10
RS0583 321.53 135.05 5.864e-10
RS0584 320.84 133.93 3.224e-09
RS0585 328.24 136.50 1.518e-10
RS0586 322.25 135.40 1.017e-08
RS0587 319.83 135.60 3.023e-10
RS0588 326.21 132.48 7.524e-10
RS0589 326.69 134.83 6.129e-10
RS0590 322.93 136.76 7.123e-10
RS0591 323.53 136.84 1.003e-09
RS0592 324.12 133.23 3.182e-10
RS0593 320.96 135.64 4.734e-10
RS0594 115.63 116.34 2.171e-09
RS0595 115.37 116.39 1.844e-11
RS0596 114.98 116.23 1.414e-11
RS0597 114.88 116.25 1.883e-11
RS0598 115.82 116.07 2.288e-10
RS0599 115.25 115.47 2.148e-11
RS0600 115.95 116.45 1.134e-11
RS0601 116.00 116.37 8.268e-12
RS0602 116.12 116.17 3.455e-10
RS0603 116.16 115.82 7.161e-12
RS0604 115.75 116.03 6.047e-10
RS0605 115.70 116.05 2.231e-11
RS0606 115.58 116.07 1.489e-11
RS0607 116.32 116.23 8.784e-12
RS0608 115.64 116.52 8.234e-12
RS0609 115.26 116.65 1.352e-11
RS0610 116.42 116.15 1.158e-11
RS0611 115.72 116.28 7.387e-12
RS0612 115.60 115.66 1.114e-11
RS0613 115.90 115.92 2.369e-11
RS0614 115.50 116.60 2.518e-11
RS0615 115.89 115.90 2.109e-11
RS0616 115.13 116.77 3.374e-11
RS0617 115.35 116.11 6.885e-12
RS0618 115.38 116.94 2.777e-11
RS0619 116.15 116.03 2.157e-11
RS0620 115.40 116.54 1.416e-11
RS0621 116.21 115.89 4.105e-11
RS0622 116.08 115.81 2.244e-11
RS0623 114.99 116.80 6.893e-12
RS0624 115.54 115.84 2.377e-10
RS0625 115.33 115.80 3.672e-11
RS0626 115.18 116.24 8.709e-12
RS0627 116.06 116.10 1.431e-11
RS0628 115.50 116.71 2.494e-11
RS0629 115.35 116.53 8.306e-12
RS0630 115.87 116.89 2.879e-11
RS0631 115.66 115.91 7.240e-12
RS0632 116.23 115.80 1.176e-11
RS0633 115.96 116.29 1.836e-11
RS0634 115.16 116.50 2.829e-10
RS0635 115.23 116.07 1.344e-11
RS0636 115.57 116.13 9.625e-12
RS0637 116.05 115.82 3.212e-11
RS0638 115.19 115.77 8.252e-12
RS0639 115.67 115.99 2.825e-11
RS0640 115.79 116.10 1.369e-11
RS0641 115.81 117.19 7.038e-12
RS0642 140.36 146.19 2.026e-11
RS0643 351.10 156.29 8.721e-10
RS0644 351.44 156.34 2.876e-11
RS0645 351.08 156.33 2.076e-11
RS0646 351.47 156.31 3.054e-11
RS0647 351.05 156.30 3.620e-11
RS0648 351.26 156.22 1.352e-11
RS0649 351.17 156.38 3.057e-11
RS0650 226.21 68.43 8.443e-08
RS0651 227.11 68.11 1.186e-09
RS0652 226.12 69.92 2.802e-09
RS0653 226.86 67.66 2.326e-09
RS0654 227.85 68.95 1.951e-09
RS0655 226.77 68.60 6.342e-10
RS0656 226.04 68.56 2.058e-09
RS0657 225.84 67.64 4.277e-10
RS0658 129.58 92.19 6.611e-11
RS0659 129.58 92.22 3.879e-11
RS0660 61.88 137.64 1.519e-09
RS0661 62.28 137.71 1.487e-10
RS0662 61.93 137.73 9.482e-11
RS0663 61.94 137.59 1.230e-10
RS0664 61.88 137.43 4.058e-11
RS0665 296.04 69.53 3.355e-09
RS0666 296.02 69.30 9.647e-11
RS0667 295.65 69.46 1.042e-10
RS0668 296.08 69.34 1.917e-10
RS0669 295.90 69.71 1.475e-10
RS0670 296.01 69.45 2.093e-10
RS0671 296.37 69.33 1.546e-10
RS0672 153.99 49.77 1.030e-10
RS0673 330.90 126.05 1.624e-10
RS0674 331.10 125.95 3.351e-11
RS0675 331.12 126.17 1.255e-10
RS0676 18.07 130.73 1.535e-07
RS0677 20.10 131.50 6.906e-10
RS0678 19.83 131.05 1.712e-09
RS0679 19.84 129.30 1.299e-08
RS0680 15.37 133.24 5.867e-10
RS0681 21.94 131.91 1.432e-09
RS0682 19.11 129.07 5.725e-10
RS0683 18.68 132.12 2.046e-08
RS0684 20.21 128.65 7.598e-10
RS0685 21.25 129.34 9.694e-09
RS0686 20.75 131.90 1.369e-09
RS0687 13.66 130.95 4.710e-10
RS0688 20.85 128.71 9.348e-10
RS0689 20.39 129.23 8.909e-10
RS0690 14.87 132.53 7.238e-10
RS0691 19.82 131.63 9.609e-10
RS0692 22.66 130.41 1.133e-09
RS0693 16.81 130.85 1.150e-09
RS0694 17.74 131.44 2.478e-08
RS0695 19.32 129.06 1.621e-08
RS0696 20.55 131.24 1.716e-08
RS0697 17.22 131.26 3.354e-08
RS0698 15.75 127.60 8.622e-10
