Name Equat Polar BlueF GreenF RedF Size RadialVelocity
DG0994 153.0887 110.3515 4.211e-16 3.483e-16 1.498e-16 166.0875 517.66
DG0995 153.2943 109.6329 5.712e-16 4.205e-16 1.746e-16 91.2749 517.26
DG0996 152.8529 110.7216 5.958e-16 4.272e-16 2.147e-16 113.2782 522.59
DG0997 153.1775 109.5766 5.452e-26 1.371e-27 7.018e-33 108.4226 524.79
DG0998 153.1099 110.8799 6.02e-26 1.431e-27 6.982e-33 106.456 522.4
DG0999 146.3319 68.188 1.239e-15 1.082e-15 4.095e-16 294.3855 280.8
DG1000 146.0749 68.3735 6.117000000000001e-26 1.622e-27 8.346e-33 229.2903 281.95
DG1001 146.0728 67.9101 6.182000000000001e-26 1.667e-27 7.616e-33 192.4422 282.1
DG1002 145.9365 68.2495 6.200000000000001e-26 1.563e-27 7.837e-33 192.6454 281.5
DG1003 146.0967 67.9735 6.231e-26 1.587e-27 7.478e-33 184.7597 282.02
DG1004 146.2382 68.5704 6.063e-26 1.551e-27 7.454e-33 168.5416 279.93
DG1018 156.0401 104.025 2.93e-15 2.494e-15 9.902e-16 234.8772 180.4
DG1019 156.2129 103.8324 7.991000000000001e-26 2.178e-27 9.707999999999999e-33 274.6982 178.92
DG1020 156.5174 103.8064 1.869e-15 1.587e-15 7.635e-16 207.3576 179.68
DG1025 163.3697 61.9574 2.035e-15 1.532e-15 5.126e-16 335.8709 423.23
DG1026 162.8769 62.5282 7.591e-16 5.243e-16 2.787e-16 108.4215 427.0
DG1027 163.3158 61.3042 5.525e-16 4.588e-16 1.911e-16 130.0767 426.07
DG1028 163.2208 62.0563 5.436e-26 1.344e-27 5.9379999999999996e-33 146.8853 424.63
DG1029 163.2442 62.327 6.957e-16 6.118e-16 2.942e-16 109.5872 424.45
DG1030 163.6 62.6927 8.771e-16 6.813e-16 2.786e-16 123.2625 427.81
DG1031 163.0851 61.6863 5.152e-16 4.156e-16 2.004e-16 174.8584 426.22
DG1032 163.8318 62.2447 8.279e-16 6.296e-16 3.419e-16 120.1895 423.25
DG1033 163.4821 62.5371 8.428e-16 6.591e-16 2.782e-16 108.2918 428.26
DG1034 162.5291 61.7356 8.275e-16 6.918e-16 3.329e-16 124.6438 428.63
DG1035 162.6781 62.3826 6.102e-16 4.442e-16 1.981e-16 115.5762 428.05
DG1036 162.9168 61.7993 4.9200000000000004e-26 1.5089999999999999e-27 6.235e-33 128.7147 427.04
DG1037 162.6703 61.3273 5.1200000000000004e-26 1.301e-27 7.042e-33 127.622 426.59
DG1038 163.9425 62.4617 1.11e-15 8.242e-16 3.601e-16 118.4823 428.17
DG1039 162.7204 62.2443 1.141e-15 8.339e-16 2.968e-16 123.3091 428.53
DG1040 163.6187 62.5945 8.811e-16 7.061e-16 3.582e-16 119.7464 425.96
DG1041 163.2971 62.5515 7.64e-16 6.288e-16 2.518e-16 101.9123 427.49
DG1068 205.3694 58.4259 6.695e-16 5.514e-16 2.614e-16 263.1817 376.64
DG1069 205.1568 58.3169 1.109e-15 9.788e-16 4.199e-16 130.0234 377.25
DG1070 205.2556 58.7705 1.082e-15 9.527e-16 4.129e-16 140.1285 377.8
DG1071 205.0514 58.2841 1.454e-15 1.217e-15 4.703e-16 121.5548 378.05
DG1072 205.3433 58.1171 9.736e-16 8.242e-16 3.484e-16 129.8138 375.96
DG1073 205.7836 58.5513 9.638e-16 7.905e-16 3.573e-16 126.2806 377.02
DG1074 205.3965 58.8274 1.004e-15 8.764e-16 3.946e-16 119.9546 377.28
DG1245 137.3166 78.5815 1.151e-15 9.85e-16 4.033e-16 205.0982 308.75
DG1258 187.8543 119.7766 3.178e-15 2.624e-15 8.182e-16 442.3092 302.99
DG1259 187.5411 120.0721 5.1450000000000004e-26 1.5959999999999999e-27 7.511e-33 212.9998 302.41
DG1260 187.9525 120.801 8.659e-16 6.477e-16 3e-16 189.3615 302.5
DG1261 188.3271 119.3597 9.092e-16 7.589e-16 3.233e-16 281.6304 304.5
DG1262 187.9831 119.4275 8.139e-16 6.877e-16 3.039e-16 304.3178 309.67
DG1263 187.0854 119.9792 5.961000000000001e-26 1.661e-27 7.117e-33 176.5958 302.33
DG1264 188.0248 120.1187 5.626000000000001e-26 1.615e-27 7.414e-33 159.6792 307.06
DG1265 187.7661 119.0957 1.176e-15 9.864e-16 4.503e-16 125.8021 302.9
DG1266 186.5271 120.3618 1.239e-15 1.02e-15 3.975e-16 149.0667 303.44
DG1267 187.5599 119.7621 8.586e-16 6.966e-16 3.383e-16 218.136 302.64
DG1268 188.5995 120.2586 9.072e-16 7.923e-16 3.436e-16 142.973 305.57
DG1269 188.7075 119.415 6.08e-26 1.4829999999999999e-27 6.725999999999999e-33 182.271 305.89
DG1270 189.6586 119.5424 6.056e-26 1.493e-27 6.913e-33 191.9243 306.15
DG1271 188.1485 119.0509 1.194e-15 1.006e-15 4.485e-16 131.3853 301.69
DG1272 187.6839 120.8387 1.202e-15 9.694e-16 4.272e-16 142.6866 304.39
DG1273 187.0172 119.0704 1.406e-15 1.133e-15 5.197e-16 190.9307 303.14
DG1274 187.7411 120.0254 1.228e-15 9.541e-16 4.474e-16 172.8217 302.38
DG1275 187.6538 119.378 1.01e-15 7.886e-16 3.758e-16 281.8302 302.05
DG1276 186.7942 118.7466 1.195e-15 9.962e-16 4.026e-16 133.185 301.52
DG1277 187.1378 120.5553 9.45e-16 7.304e-16 3.201e-16 207.6402 302.38
DG1278 188.7915 120.3312 5.906000000000001e-26 1.592e-27 6.721999999999999e-33 182.7182 303.03
DG1279 187.5335 120.1059 1.361e-15 1.103e-15 4.981e-16 146.521 309.19
DG1294 166.7762 129.0682 7.132e-16 6.113e-16 2.528e-16 330.9364 357.98
DG1295 166.4948 128.8551 7.404e-16 5.722e-16 2.73e-16 139.3673 359.19
DG1296 167.1207 129.453 7.7e-16 6.525e-16 2.616e-16 174.1086 359.71
DG1297 167.2039 129.0473 1.097e-15 6.933e-16 3.7e-16 130.0691 361.12
DG1298 167.1037 129.5356 1.112e-15 8.908e-16 4.153e-16 157.6354 357.72
DG1299 167.149 128.6343 5.0450000000000006e-26 1.505e-27 6.732999999999999e-33 149.1689 359.84
DG1300 166.9712 129.0677 5.458000000000001e-26 1.429e-27 7.091e-33 132.1741 357.87
DG1301 167.1253 128.9509 1.098e-15 9.232e-16 3.828e-16 159.7285 357.68
DG1304 218.429 115.3948 7.454e-15 5.96e-15 1.871e-15 497.0434 229.7
DG1305 219.4138 114.8509 8.77e-26 2.212e-27 9.693e-33 265.0708 227.69
DG1306 219.3305 114.5481 3.281e-15 2.817e-15 1.121e-15 217.2904 228.58
DG1307 218.8171 115.7926 2.855e-15 2.205e-15 1.195e-15 247.0537 227.76
DG1308 219.4286 114.7733 3.12e-15 2.556e-15 1.179e-15 229.6105 230.09
DG1309 218.6084 114.5541 2.54e-15 2.359e-15 9.81e-16 241.496 230.58
DG1310 217.7827 115.7175 3.035e-15 2.743e-15 1.19e-15 264.4224 229.96
DG1311 217.1698 115.2747 4.28e-15 3.321e-15 1.336e-15 241.1441 227.44
DG1312 217.8351 114.8233 8.823e-26 2.215e-27 1.055e-32 301.002 228.84
DG1313 218.1602 116.5572 2.947e-15 2.262e-15 1.005e-15 196.7209 227.7
DG1411 188.454 79.2903 1.478e-15 1.168e-15 3.919e-16 192.5867 436.46
DG1412 188.1562 78.8952 5.708e-16 4.144e-16 1.807e-16 91.296 434.97
DG1413 188.262 78.5824 3.726e-16 3.205e-16 1.445e-16 99.4621 437.91
DG1414 188.1998 78.2313 7.937e-16 6.14e-16 2.635e-16 71.5364 434.56
DG1415 189.0457 78.8087 5.444e-26 1.383e-27 6.630999999999999e-33 89.2379 434.9
DG1416 188.7601 79.4304 3.636e-16 3.093e-16 1.422e-16 186.103 441.62
DG1417 188.1948 79.167 3.55e-16 2.782e-16 1.26e-16 213.1978 434.18
DG1418 188.9253 79.8235 5.163e-16 4.408e-16 2.031e-16 99.0708 440.68
DG1419 189.0171 79.2304 5.339e-16 3.998e-16 1.99e-16 97.4579 439.67
DG1420 188.2883 80.1227 6.202e-16 4.777e-16 2.292e-16 102.4728 440.48
DG1421 189.1376 79.236 7.309e-16 5.848e-16 2.441e-16 95.7465 436.22
DG1422 188.1011 79.6665 5.805e-16 5.321e-16 2.342e-16 109.5617 442.86
DG1423 188.8498 79.1033 4.576e-16 3.792e-16 1.536e-16 156.0048 441.79
DG1424 189.3378 79.8309 5.963e-16 4.743e-16 2.11e-16 97.427 443.02
DG1425 188.2667 80.3384 5.049e-16 4.205e-16 1.767e-16 79.2086 438.09
DG1426 188.5074 79.0953 5.412e-26 1.3609999999999999e-27 6.279e-33 108.8287 443.14
DG1427 187.7671 79.2937 5.762e-16 4.872e-16 2.293e-16 121.1424 435.23
DG1428 188.0191 78.4607 5.38e-16 4.743e-16 1.854e-16 87.6483 433.79
DG1429 188.4611 78.9957 4.238e-16 3.51e-16 1.713e-16 160.8124 443.49
DG1430 187.5428 78.7669 6.161e-16 5.08e-16 2.126e-16 92.8284 442.16
DG1431 188.2606 78.5907 5.147e-16 4.388e-16 2.064e-16 91.5629 438.42
DG1432 188.9165 78.5893 3.688e-16 2.989e-16 1.199e-16 126.6606 432.71
DG1433 189.1491 79.5979 8.149e-16 7.206e-16 2.445e-16 93.3577 435.49
DG1434 188.9404 78.2047 5.384e-16 4.349e-16 1.877e-16 92.8296 432.8
DG1435 188.9343 79.8058 6.95e-16 6.344e-16 2.654e-16 101.574 440.29
DG1436 188.2858 78.276 5.247e-16 4.555e-16 1.981e-16 96.2837 434.56
DG1437 187.531 79.0138 5.914e-16 5.152e-16 2.269e-16 92.5318 437.85
DG1438 188.5324 78.5819 5.428e-16 4.823e-16 2.223e-16 98.0132 439.33
DG1439 196.2564 113.6288 7.952e-16 6.322e-16 1.928e-16 204.0845 686.63
DG1440 196.0991 113.2481 2.87e-16 2.087e-16 1.032e-16 65.0196 681.61
DG1441 195.8312 113.4942 2.87e-16 2.322e-16 1.024e-16 61.3018 682.65
DG1442 195.998 113.8958 7.11e-26 1.823e-27 9.157e-33 75.5047 682.5
DG1443 196.3959 113.5367 2.881e-16 2.251e-16 1.004e-16 60.0131 684.07
DG1444 196.4177 113.6208 3.28e-16 2.483e-16 1.182e-16 63.9712 684.99
DG1445 196.2147 113.6093 7.310000000000001e-26 1.7459999999999998e-27 8.757e-33 84.2597 686.63
DG1446 196.2437 113.97 7.179000000000001e-26 1.763e-27 9.476e-33 69.5458 681.73
DG1447 196.3734 113.8295 3.017e-16 2.492e-16 1.052e-16 80.7601 683.71
DG1448 195.94 113.4629 6.844000000000001e-26 1.8589999999999998e-27 9.199e-33 84.0522 686.02
DG1449 196.143 113.7327 1.956e-16 1.666e-16 6.744e-17 141.612 685.98
DG1450 196.0871 113.6266 2.828e-16 2.23e-16 1.044e-16 59.1629 683.63
DG1451 196.0649 113.6249 3.065e-16 2.55e-16 1.18e-16 81.7429 684.56
DG1452 213.7813 82.102 2.713e-15 2.258e-15 8.206e-16 246.7882 317.49
DG1453 213.7449 82.2462 8.707e-16 6.635e-16 2.755e-16 398.2094 317.63
DG1454 214.0238 82.3729 1.103e-15 9.249e-16 4.041e-16 131.0658 315.68
DG1455 213.4464 81.8764 1.364e-15 1.005e-15 4.415e-16 150.4356 315.62
DG1456 213.7276 81.7778 5.562e-26 1.591e-27 6.943e-33 173.3808 314.71
DG1457 213.9773 81.8329 1.094e-15 9.72e-16 4.323e-16 134.0041 316.07
DG1458 213.6711 82.3584 1.104e-15 8.942e-16 3.717e-16 142.8297 316.33
DG1459 213.5674 82.4312 5.668e-26 1.513e-27 7.358e-33 154.6438 318.38
DG1460 214.0871 81.9647 1.163e-15 9.455e-16 4.035e-16 138.5122 316.34
DG1461 213.741 82.7164 1.215e-15 1.085e-15 4.438e-16 172.6659 317.34
DG1509 155.9142 125.5273 2.754e-16 2.159e-16 7.508e-17 116.1734 1226.56
DG1510 156.2174 125.5878 2.9780000000000003e-25 7.514e-27 3.957e-32 32.0047 1227.89
DG1511 155.6629 125.5742 7.265e-17 5.84e-17 2.492e-17 42.3243 1225.93
DG1512 155.6631 125.4936 8.53e-17 7.412e-17 3.72e-17 36.3414 1228.07
DG1513 156.3123 125.7406 8.642e-17 8.081e-17 3.674e-17 33.4265 1227.13
DG1514 155.5479 125.3642 9.595e-17 7.562e-17 3.485e-17 35.3076 1226.32
DG1515 155.6989 125.648 3.193e-25 8.102e-27 3.811e-32 46.7429 1231.16
DG1516 156.1118 125.5877 9.26e-17 7.98e-17 3.435e-17 34.3989 1231.75
